OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
31489,01001,PC,Northwest To City Centre Via Motorway,WX1,Bus,19887.6415787348
31490,01002,PC,City Centre To Northwest Via Motorway,WX1,Bus,19953.5217279213
31491,01105,NZB,Northwest To City Centre Via Triangle Rd,11T,Bus,20842.4887866105
31492,01106,NZB,City Centre To Northwest Via Triangle Rd,11T,Bus,20710.9066781517
31493,01107,NZB,Northwest To City Centre Via Waimumu Rd,11W,Bus,22749.2607506835
31494,01108,NZB,City Centre To Northwest Via Waimumu Rd,11W,Bus,22585.1713056586
31495,01302,PC,Te Atatu Peninsula Loop To Henderson,13,Bus,17012.320990765
31496,01403,NZB,Lincoln Rd To New Lynn Via Henderson,14,Bus,11266.305192213
31497,01404,NZB,New Lynn to Lincoln Rd via Henderson,14,Bus,11445.7350347438
31498,01803,NZB,New Lynn To City Centre Via Great North Rd,18,Bus,12830.4943647694
31499,01804,NZB,City Centre To New Lynn Via Great North Rd,18,Bus,12925.4611398872
31500,01806,NZB,City Centre To Henderson Via Great North Rd,18,Bus,20038.3431306137
31501,02005,NZB,St Lukes To Wynyard Quarter Via Kingsland,20,Bus,7859.6868854057
31502,02006,NZB,Wynyard Quarter To St Lukes Via Kingsland,20,Bus,7862.09315256661
31503,02201,NZB,Rosebank Rd To City Centre Via New North Rd,22R,Bus,14420.4277065208
31504,02202,NZB,City Centre To Rosebank Rd Via New North Rd,22R,Bus,14356.1042937949
31505,02203,NZB,New Lynn To City Centre Via New North Rd,22N,Bus,13337.6585049485
31506,02204,NZB,City Centre To New Lynn Via New North Rd,22N,Bus,13627.1942386885
31507,02401,NZB,New Lynn To City Centre Via Sandingham Rd,24R,Bus,14592.881098666
31508,02402,NZB,City Centre To New Lynn Via Sandringham Rd,24R,Bus,14443.2412286983
31509,02403,NZB,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,24B,Bus,15902.5674375391
31510,02404,NZB,City Centre To Blockhouse Bay New Lynn Via Sandringham Rd,24B,Bus,15777.9960483217
31511,02405,NZB,Blockhouse Bay To City Centre Via Sandingham Rd,24B,Bus,13158.7946653581
31512,02406,NZB,City Centre To Blockhouse Bay Via Sandringham Rd,24B,Bus,13105.6082817044
31513,02503,NZB,Lynfield To City Centre Via Dominion Rd,25L,Bus,14746.4086955977
31514,02504,NZB,City Centre To Lynfield Via Dominion Rd,25L,Bus,14279.2613293128
31515,02505,NZB,Blockhouse Bay To City Centre Via Dominion Rd,25B,Bus,13005.4378435486
31516,02506,NZB,City Centre To Blockhouse Bay Via Dominion Rd,25B,Bus,12671.0076627503
31517,02702,NZB,Britomart To Waikowhai Via Mt Eden Rd,27W,Bus,12888.5316326464
31518,02704,NZB,Britomart To Waikowhai Via Mt Eden Rd And Hillsborough Rd,27H,Bus,12641.4990289466
31519,02705,NZB,Waikowhai To Britomart Via Mt Eden Rd,27W,Bus,13247.1886839649
31520,02707,NZB,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,27H,Bus,12990.4671077145
31521,02710,NZB,Britomart To Three Kings Via Mt Eden Rd,27T,Bus,8239.87648809965
31522,02717,NZB,Three Kings To Britomart Via Mt Eden Rd,27T,Bus,8708.61136605537
31523,03007,NZB,Onehunga To City Centre Via Manukau Rd,30,Bus,10675.7847449332
31524,03008,NZB,City Centre To Onehunga Via Manukau Rd,30,Bus,11518.4560360861
31525,03101,GBT,Mangere Town Centre To Botany Town Centre Via Otara,31,Bus,17453.0434975193
31526,03102,GBT,Botany Town Centre To Mangere Town Centre Via Otara,31,Bus,15650.6480955387
31527,03201,GBT,Mangere Town Centre To Sylvia Park Via Otahuhu,32,Bus,12458.9582246369
31528,03202,GBT,Sylvia Park To Mangere Town Centre Via Otahuhu,32,Bus,12675.0158133329
31529,03301,RTH,Papakura Interchange To Otahuhu Station Via Great South Rd,33,Bus,20543.5888797564
31530,03302,RTH,Otahuhu Station to Papakura Interchange Via Great South Rd,33,Bus,20579.1948994749
31531,03503,HE,Ormiston To Botany Via Chapel Rd,35,Bus,7925.37102633587
31532,03505,HE,Manukau Bus Station To Botany Via Chapel Rd And Ormiston,35,Bus,13650.3497628494
31533,03508,HE,Botany To Manukau Bus Station Via Chapel Rd And Ormiston,35,Bus,13378.9762504076
31534,03510,HE,Botany To Manukau Bus Station Via Chapel Rd And Ormiston Rd,35,Bus,13378.9762504076
31535,03601,GBT,Manukau to Onehunga via Mangere Town Centre,36,Bus,19095.3972878275
31536,03602,GBT,Onehunga To Manukau Via Mangere Town Centre,36,Bus,18878.2942682412
31537,03803,GBT,Airport To Onehunga Via Mangere Town Centre,38,Bus,17580.9583770318
31538,03804,GBT,Onehunga To Airport Via Mangere Town Centre,38,Bus,14953.9505270789
31539,05001,WBC,Onetangi (Seventh Ave) To Matiatia Wharf,50A,Bus,12029.5397742558
31540,05002,WBC,Matiatia Wharf To Onetangi (Seventh Ave),50A,Bus,12087.7094618858
31541,05003,WBC,Onetangi (Fourth Ave) to Matiatia Wharf,50B,Bus,11179.8509896628
31542,05004,WBC,Matiatia Wharf To Onetangi (Fourth Ave),50B,Bus,11785.8000663313
31543,05011,WBC,Onetangi (Waiheke Rd) To Matiatia Wharf,50A,Bus,14145.4591278899
31544,05012,WBC,Matiatia Wharf To Onetangi (Waiheke Rd),50A,Bus,14214.5174024008
31545,06401,NZB,Newmarket To Kingsland Via Mt Eden And Valley Rd,64,Bus,9916.49924065407
31546,06601,PC,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66,Bus,18791.7875634375
31547,06602,PC,Sylvia Park To Pt Chevalier Beach Via Mt Albert Rd,66,Bus,18575.5208175437
31548,06803,NZB,New Lynn To Onehunga,68,Bus,12396.6548390478
31549,06804,NZB,Onehunga To New Lynn,68,Bus,12388.5353628082
31550,07005,HE,Botany To Britomart Via Panmure,70,Bus,21667.0711698787
31551,07006,HE,Britomart To Botany Via Panmure,70,Bus,21076.8873950927
31552,07007,HE,Ellerslie To Britomart,70,Bus,9739.78423867537
31553,07008,HE,Panmure To Botany,70,Bus,8222.73356427408
31554,07009,HE,Panmure To Britomart Via Ellerslie,70,Bus,13562.9401739828
31555,07010,HE,Britomart To Howick And Botany Via Ellerslie And Panmure,70H,Bus,29940.7259115444
31556,07205,HE,Botany And Howick To Britomart Express Via Panmure And Motor,72X,Bus,31091.2513062628
31557,07206,HE,Britomart To Howick And Botany Express Via Motorway And Panm,72X,Bus,29718.2872988478
31558,07207,HE,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",72C,Bus,15294.9054666425
31559,07208,HE,"Pamure To Howick And Botany Via Pakuranga Rd, Cook St, and C",72C,Bus,14774.0589415306
31560,07209,HE,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",72M,Bus,17440.4784913505
31561,07210,HE,"Pamure to Howick and Botany via Pakuranga Rd, Meadowland Dr",72M,Bus,17097.3254003814
31562,07401,GBT,Onehunga To Glen Innes Via Panmure,74,Bus,13513.4591396567
31563,07402,GBT,Glen Innes To Onehunga Via Panmure,74,Bus,14402.9152143137
31564,07403,GBT,Panmure To Glen Innes,74,Bus,4310.53626908497
31565,07501,NZB,Glen Innes To Wynyard Quarter Via Remuera Rd,75,Bus,14603.195539071
31566,07502,NZB,Wynyard Quarter To Glen Innes Via Remuera Rd,75,Bus,14402.3324807946
31567,07601,NZB,Glen Innes To Britomart Via Orakei,76,Bus,14509.922762875
31568,07602,NZB,Britomart To Glen Innes Via Orakei,76,Bus,14538.9833964914
31569,07701,NZB,Glen Innes To Britomart Via St Heliers And Tamaki Dr,TMK,Bus,13850.9356632697
31570,07702,NZB,Britomart To Glen Innes Via Tamaki Dr And St Heliers,TMK,Bus,14108.8884802969
31571,08203,NZB,Milford To Mayoral Dr Via Takapuna,82,Bus,12672.5762906546
31572,08204,NZB,Mayoral Dr To Milford Via Takapuna,82,Bus,12548.4680753379
31573,08208,NZB,Mayoral Dr To Browns Bay Via Milford and Takapuna,82,Bus,21552.2119380319
31574,08301,RTH,Massey University To Takapuna Via Browns Bay,83,Bus,23815.7580812156
31575,08302,RTH,Takapuna To Massey University Via Browns Bay,83,Bus,23634.2341512989
31576,08303,RTH,Browns Bay To Takapuna Via Mairangi Bay And Busway,83,Bus,14466.0532287102
31577,08304,RTH,Browns Bay To Massey University Via Albany Station,83,Bus,9389.90864129423
31578,09401,RTH,Beach Haven To Takapuna via Highbury And Northcote Shops,94,Bus,17138.8870708117
31579,09402,RTH,Takapuna to Beach Haven via Northcote & Highbury (Full Loop),94,Bus,16848.9575503784
31580,09404,RTH,Takapuna to Beach Haven via Northcote Shops And Highbury,94,Bus,10312.2266051295
31581,09406,RTH,Takapuna to Beach Haven & Smales Farm Clockwise (Late Night),94,Bus,21705.0975055572
31582,09408,RTH,Takapuna To Beach Haven (Late Night),94,Bus,13317.0739436635
31583,09503,RTH,Bayview To Britomart (Lower Albert St),95B,Bus,17804.3922006714
31584,09504,RTH,Britomart (Quay St) To Bayview,95B,Bus,12975.957870232
31585,09506,RTH,Britomart (Quay St) To Bayview (Full Loop),95B,Bus,17727.2611048189
31586,09511,RTH,Constellation Station To Britomart (Albert St) Via Glenfield,95C,Bus,16045.1679167324
31587,09512,RTH,Britomart (Quay St) to Constellation Station via Glenfield,95C,Bus,15707.9231303493
31588,09703,RTH,Beach Haven To Britomart (Lower Albert St),97R,Bus,17392.4227258934
31589,09704,RTH,Britomart (Quay St) To Beach Haven,97R,Bus,10581.7561530081
31590,09705,RTH,Beach Haven To Britomart (Lower Albert) via Highbury Bypass,97R,Bus,17074.1857679261
31591,09706,RTH,Britomart (Quay St) To Beach Haven Via Rangatira Rd,97R,Bus,17118.4870982569
31592,09708,RTH,Britomart (Quay St) To Beach Haven Via Highbury & Rangatira,97R,Bus,16820.0653683353
